date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,language
2026-08-20,8,Yeshanagula,"Anirudh Ravichander, Singer Prabha",75,188000,single,1,2026-08-29,1,https://tracktollywood.com/wp-content/smush-webp/2026/08/1000644641.jpg.webp,Telugu
2026-07-10,12,"Neno Butterfly","G. V. Prakash, Sublahshini",68,208000,single,1,2026-06-19,1,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e6/b3/e8/e6b3e896-2195-12de-f675-6d8ec6c77642/cover.jpg/592x592bb.webp,Telugu
2025-07-10,15,"Aaya Sher","Anirudh Ravichander",72,286000,single,1,2026-02-24,0,https://yt3.googleusercontent.com/yaOCDWtoMmYeBZhdm4uzeURZeJW5Fkvro1wEkQdZVsTMkgHT4hRm1lEmgGVrAfJ8sKx2sI66qtsFOnoL=w544-h544-l90-rj,Telugu
2026-07-20,5,"Irumudi Kattu","G. V. Prakash, Ananthu",70,249000,single,1,2026-06-29,0,"https://c.saavncdn.com/919/Irumudi-Telugu-2026-20260821191100-500x500.jpg ",Telugu
2026-08-20,1,"Chikiri Chikiri","A.R. Rahman, Mohit Chauhan",85,273000,single,1,2025-11-07,0,https://en.wikipedia.org/wiki/File:Chikiri_Chikiri_Cover.jpg,Telugu
2026-08-20,3,"Yaalalo Yaalalo","G. V. Prakash, Hesham Abdul Wahab",78,253000,single,1,2026-08-03,0,https://c.saavncdn.com/919/Irumudi-Telugu-2026-20260821191100-500x500.jpg,Telugu
2026-08-20,2,"Raga of Revenge","Anirudh Ravichander",85,132000,single,1,2026-05-16,0,https://img.albumartworkfinder.com/is1/image/thumb/Music221/v4/83/b3/69/83b3694e-974a-d50b-3eb9-2efd4e66143e/820233486484.jpg/828x828bb.jpg,Telugu
2026-08-25,4,Rasaagummadi,"Thaman S",80,237000,single,1,2026-07-19,0,https://vaartha.com/wp-content/uploads/2026/07/cr-20260716_93d1a38408ca3a0d.webp,Telugu
2026-08-25,6,Kamsahamnida,"Sid Sriram, Thaman S",81,193000,single,1,2026-04-11,0,https://tse2.mm.bing.net/th/id/OIP.k0OIvCuuxzVglRWhupv2QgHaHa?r=0&pid=Api&P=0&h=180,Telugu
2026-08-25,2,Hellallallo,"A.R. Rahman, Rakshita Suresh",86,228000,single,1,2026-05-28,0,https://cdn.123telugu.com/content/wp-content/uploads/2026/05/peddi-song-1.webp,Telugu
